Name, EA,formula,nAT,nSK,nH,nC,nN,nO,nP,nS,nF,nCl,nBr,nB,nHet,nX,H%,C%,N%,O%,X%,MW,AMW,Mp,Mi,Si,Se,Sr,H/C,Sp,Mv,Me,IDK,HDI
"Benzene, 1,2,4,5-tetramethyl-",0.048,C10H14,24,10,14,10,0,0,0,0,0,0,0,0,0,0,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0,134.22199999999998,5.592583333333333,7.337480833333333,12.624206849826166,302.980964395828,56.300000000000004,-612.0,1.4,176.09954,-25.5,2.3458333333333337,0.5,3.0
"2,2'-Bithiophene",0.049,C8H6S2,16,10,6,8,0,0,0,2,0,0,0,0,2,0,0.375,0.5,0.0,0.0,0.0,166.256,10.391,9.76516625,12.02455822488825,192.392931598212,38.76,76.0,0.75,156.24266,4.75,2.4225,0.3333333333333333,5.0
Sm anion,0.05,Sm-,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,150.36,150.36,192.0,5.643722,5.643722,1.17,122.0,0.0,192.0,122.0,1.17,1.0,0.0
(H2O)2 radical anion,0.05,H4O2-,6,2,4,0,0,2,0,0,0,0,0,0,2,0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,36.03,6.005,4.771406666666667,13.604974733134666,81.629848398808,15.68,118.0,0.0,28.628439999999998,19.666666666666668,2.6133333333333333,0.5,-2.0
Isobutyl radical,0.052,C4H9,13,4,9,4,0,0,0,0,0,0,0,0,0,0,0.6923076923076923,0.3076923076923077,0.0,0.0,0.0,57.116,4.393538461538461,6.597230000000001,12.879004876716769,167.427063397318,30.0,-374.0,2.25,85.76399,-28.76923076923077,2.3076923076923075,0.5,-0.5
strontium,0.052,Sr,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,87.62,87.62,197.2,5.69486745,5.69486745,0.95,118.0,0.0,197.2,118.0,0.95,1.0,0.0
(Ar)2..pyrazine radical anion,0.058,C4H4Ar2N2-,12,8,4,4,2,0,0,0,0,0,0,0,4,0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,159.99,13.332500000000001,8.349536666666667,13.335197849900666,160.022374198808,25.08,108.0,1.0,100.19444,9.0,2.09,0.24999999999999997,4.0
(HF)2 radical anion,0.063,F2H2-,4,2,2,0,0,0,0,0,2,0,0,0,2,2,0.5,0.0,0.0,0.0,0.5,40.012806323999996,10.003201580999999,4.123555,15.510627299851,62.042509199404,12.36,181.0,0.0,16.49422,45.25,3.09,0.5,-2.0
Thymine,0.069,C5H6N2O2,15,9,6,5,2,2,0,0,0,0,0,0,4,0,0.4,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.0,126.115,8.407666666666666,7.262844,12.9464278398808,194.19641759821198,38.910000000000004,294.0,1.2,108.94266,19.6,2.5940000000000003,0.25,4.0
Ru6C(CO)9 dianion,0.08,C10O9Ru6-2,25,25,0,10,0,9,0,0,0,0,0,0,15,0,0.0,0.4,0.0,0.36,0.0,870.521,34.82084,23.708000000000002,11.173135,279.328375,69.66,1543.0,0.0,592.7,61.72,2.7864,0.3333333333333333,10.0
Methyl radical,0.08,CH3,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0.0,0.0,0.0,15.035,3.75875,6.2053325,13.0138979497765,52.055591799106,9.15,-122.0,3.0,24.82133,-30.5,2.2875,0.5,-0.5
Ar..NO anion,0.084,ArNO-,3,3,0,0,1,1,0,0,0,0,0,0,3,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,69.956,23.31866666666667,7.927666666666667,14.637265633333334,43.9117969,6.48,281.0,0.0,23.783,93.66666666666667,2.16,0.3333333333333333,1.0
Uracil,0.086,C4H4N2O2,12,8,4,4,2,2,0,0,0,0,0,0,4,0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,112.088,9.340666666666666,7.385703333333333,12.978271699900667,155.739260398808,31.96,378.0,1.0,88.62844,31.5,2.6633333333333336,0.24999999999999997,4.0
titanium,0.087,Ti,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,47.867,47.867,100.0,6.82812,6.82812,1.54,86.0,0.0,100.0,86.0,1.54,1.0,0.0
But-3-en-1-yl radical,0.091,C4H7,11,4,7,4,0,0,0,0,0,0,0,0,0,0,0.6363636363636364,0.36363636363636365,0.0,0.0,0.0,55.099999999999994,5.009090909090909,6.977251818181818,12.748199472537635,140.230194197914,25.6,-298.0,1.75,76.74977,-27.09090909090909,2.3272727272727276,0.5,0.5
(Ar)3..pyrazine radical anion,0.092,C4H4Ar3N2-,13,9,4,4,2,0,0,0,0,0,0,0,5,0,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.0,0.0,199.94,15.379999999999999,8.559803076923078,13.521691238369847,175.781986098808,25.08,108.0,1.0,111.27744000000001,8.307692307692308,1.929230769230769,0.25,4.0
"Benzene, 1,2-dichloro-",0.094,C6H4Cl2,12,8,4,6,0,0,0,0,0,2,0,0,2,2,0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,146.99800000000002,12.249833333333335,9.585703333333335,12.324227699900666,147.89073239880798,30.42,162.0,0.6666666666666666,115.02844000000002,13.5,2.535,0.3333333333333333,3.0
Difluorosilylene,0.1,F2Si,3,3,0,0,0,0,0,0,2,0,0,0,3,2,0.0,0.0,0.0,0.0,0.6666666666666666,66.081806324,22.027268774666666,14.926666666666668,14.33244,42.99732,9.86,283.0,0.0,44.78,94.33333333333333,3.2866666666666666,0.5,-1.0
"Ethene, 1,1-dichloro-",0.1,C2H2Cl2,6,4,2,2,0,0,0,0,0,2,0,0,2,2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,96.938,16.156333333333333,10.135703333333334,12.608785199900666,75.652711199404,15.82,270.0,1.0,60.81422,45.0,2.6366666666666667,0.3333333333333333,0.0
Hf anion,0.1,Hf-,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,178.486,178.486,103.0,6.82507,6.82507,1.3,57.99999999999999,0.0,103.0,57.99999999999999,1.3,1.0,0.0
Gd anion,0.1,Gd-,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,157.25,157.25,158.0,6.1498,6.1498,1.2,93.8,0.0,158.0,93.8,1.2,1.0,0.0
Kr..uracil radical anion,0.101,C4H4KrN2O2-,13,9,4,4,2,2,0,0,0,0,0,0,5,0,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.0,195.886,15.068153846153846,8.108341538461538,13.056835838369846,169.738865898808,31.96,378.0,1.0,105.40844,29.076923076923077,2.4584615384615387,0.2,4.0
"(2,2'-bis(thiophene))2 radical anion",0.108,C16H12S4-,32,20,12,16,0,0,0,4,0,0,0,0,4,0,0.375,0.5,0.0,0.0,0.0,332.512,10.391,9.76516625,12.02455822488825,384.785863196424,77.52,152.0,0.75,312.48532,4.75,2.4225,0.3333333333333333,10.0
Butanedinitrile,0.108,C4H4N2,10,6,4,4,2,0,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.0,0.0,80.09,8.009,7.802844,12.850315039880801,128.503150398808,25.08,108.0,1.0,78.02844,10.8,2.508,0.3333333333333333,4.0
