Name, EA,formula,nAT,nSK,nH,nC,nN,nO,nP,nS,nF,nCl,nBr,nB,nHet,nX,H%,C%,N%,O%,X%,MW,AMW,Mp,Mi,Si,Se,Sr,H/C,Sp,Mv,Me,IDK,HDI
pI-C6H4CH2 anion,1.184,C7H6I-,14,8,6,7,0,0,0,0,0,0,0,0,1,1,0.42857142857142855,0.5,0.0,0.0,0.07142857142857142,217.02947,15.502105,9.931618571428572,12.204561399872285,170.86385959821197,33.71,-63.99999999999997,0.8571428571428571,139.04266,-4.571428571428569,2.407857142857143,0.3333333333333333,3.5
"Naphthalene, 2-nitro-",1.184,C10H7NO2,20,13,7,10,1,2,0,0,0,0,0,0,3,0,0.35,0.5,0.05,0.1,0.0,173.171,8.65855,8.1274885,12.478108109895699,249.56216219791398,50.82,70.0,0.7,162.54977,3.5,2.541,0.25,7.5
EtOO anion,1.186,C2H5O2-,9,4,5,2,0,2,0,0,0,0,0,0,2,0,0.5555555555555556,0.2222222222222222,0.0,0.2222222222222222,0.0,61.06,6.7844444444444445,6.19283888888889,13.08320655539,117.74885899851,22.98,64.0,2.5,55.73555,7.111111111111111,2.5533333333333332,0.3333333333333333,-0.5
4-Methylphthalic anhydride,1.188,C9H6O3,18,12,6,9,0,3,0,0,0,0,0,0,3,0,0.3333333333333333,0.5,0.0,0.16666666666666666,0.0,162.14399999999998,9.008,8.035703333333334,12.432631366567332,223.78736459821198,46.47,105.0,0.6666666666666666,144.64266,5.833333333333333,2.5816666666666666,0.3333333333333333,6.0
(H2O)20 radical anion,1.189,H40O20-,60,20,40,0,0,20,0,0,0,0,0,0,20,0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,360.3,6.005,4.771406666666667,13.604974733134668,816.2984839880801,156.8,1180.0,0.0,286.2844,19.666666666666668,2.6133333333333337,0.5,-20.0
Y4O2 radical anion,1.19,O2Y4-,6,6,0,0,0,2,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.3333333333333333,0.0,387.621352,64.60355866666667,109.76666666666667,8.684191666666665,52.105149999999995,11.76,630.0,0.0,658.6,105.0,1.96,0.5,0.0
coronene..Ti3 anion,1.19,C24H12Ti3-,39,27,12,24,0,0,0,0,0,0,0,0,3,0,0.3076923076923077,0.6153846153846154,0.0,0.0,0.0,443.961,11.383615384615386,16.032956923076924,11.638781722985229,453.9124871964239,92.22,-390.0,0.5,625.2853200000001,-10.0,2.3646153846153846,0.3333333333333333,18.0
GdO radical anion,1.19,GdO-,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.5,0.0,173.249,86.6245,81.65,9.8839275,19.767855,4.64,228.8,0.0,163.3,114.4,2.32,0.5,0.0
Co17O radical anion,1.19,Co17O-,18,18,0,0,0,1,0,0,0,0,0,0,18,0,0.0,0.0,0.0,0.05555555555555555,0.0,1017.863298,56.547961,52.23888888888889,8.199734722222223,147.595225,35.4,1121.0,0.0,940.3,62.27777777777778,1.9666666666666666,0.5,0.0
(m-terphenyl)16 radical anion,1.19,C288H224-,512,288,224,288,0,0,0,0,0,0,0,0,0,0,0.4375,0.5625,0.0,0.0,0.0,3684.9599999999996,7.197187499999999,8.328110625,12.283227137369625,6289.012294333248,1227.2,-10816.0,0.7777777777777778,4263.99264,-21.125,2.396875,0.5,176.0
(m-terphenyl)17 radical anion,1.19,C306H238-,544,306,238,306,0,0,0,0,0,0,0,0,0,0,0.4375,0.5625,0.0,0.0,0.0,3915.27,7.1971875,8.328110625,12.283227137369623,6682.0755627290755,1303.9,-11492.0,0.7777777777777778,4530.49218,-21.125,2.396875,0.5,187.0
MeSiH2 anion,1.193,CH5Si-,7,2,5,1,0,0,0,0,0,0,0,0,1,0,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,45.136,6.448,10.162221428571428,12.48630585693,87.40414099851,15.45,-172.0,5.0,71.13555,-24.571428571428573,2.207142857142857,0.3333333333333333,-1.5
oI-C6H4CH2 anion,1.193,C7H6I-,14,8,6,7,0,0,0,0,0,0,0,0,1,1,0.42857142857142855,0.5,0.0,0.0,0.07142857142857142,217.02947,15.502105,9.931618571428572,12.204561399872285,170.86385959821197,33.71,-63.99999999999997,0.8571428571428571,139.04266,-4.571428571428569,2.407857142857143,0.3333333333333333,3.5
mI-C6H4CH2 anion,1.193,C7H6I-,14,8,6,7,0,0,0,0,0,0,0,0,1,1,0.42857142857142855,0.5,0.0,0.0,0.07142857142857142,217.02947,15.502105,9.931618571428572,12.204561399872285,170.86385959821197,33.71,-63.99999999999997,0.8571428571428571,139.04266,-4.571428571428569,2.407857142857143,0.3333333333333333,3.5
mCH2Cl-C6H4CH2 anion,1.194,C8H8Cl-,17,9,8,8,0,0,0,0,0,1,0,0,1,1,0.47058823529411764,0.47058823529411764,0.0,0.0,0.058823529411764705,139.602,8.211882352941176,8.297463529411765,12.461024341036236,211.837413797616,41.16,-187.0,1.0,141.05688,-11.0,2.421176470588235,0.3333333333333333,3.5
Mononitrogen monosulfide,1.194,NS,2,2,0,0,1,0,0,1,0,0,0,0,2,0,0.0,0.0,0.5,0.0,0.0,46.067,23.0335,13.399999999999999,12.44707,24.89414,5.62,330.0,0.0,26.799999999999997,165.0,2.81,0.5,1.0
tBuOO anion,1.196,C4H9O2-,15,6,9,4,0,2,0,0,0,0,0,0,2,0,0.6,0.26666666666666666,0.0,0.13333333333333333,0.0,89.114,5.940933333333334,6.424266,12.977544893154533,194.663173397318,36.88,-104.0,2.25,96.36399,-6.933333333333334,2.458666666666667,0.3333333333333333,-0.5
OH..H anion,1.2,H2O-,3,1,2,0,0,1,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,18.015,6.005,4.771406666666667,13.604974733134666,40.814924199404,7.84,59.0,0.0,14.314219999999999,19.666666666666668,2.6133333333333333,0.5,-1.0
K(KI)3 radical anion,1.2,I3K4-,7,7,0,0,0,0,0,0,0,0,0,0,7,3,0.0,0.0,0.0,0.0,0.42857142857142855,537.10661,76.72951571428572,179.64285714285714,6.959480417142856,48.716362919999995,11.26,1208.0,0.0,1257.5,172.57142857142858,1.6085714285714285,0.5,-1.5
vanadium dichloride,1.2,Cl2V,3,3,0,0,0,0,0,0,0,2,0,0,3,2,0.0,0.0,0.0,0.0,0.6666666666666666,121.8415,40.61383333333333,38.733333333333334,10.893817666666665,32.681453,7.95,441.0,0.0,116.2,147.0,2.65,0.5,-1.0
K3C60,1.2,C60K3,63,63,0,60,0,0,0,0,0,0,0,0,3,0,0.0,0.9523809523809523,0.0,0.0,0.0,837.9549,13.300871428571428,24.557142857142857,10.93078208238095,688.6392711899999,155.46,-69.0,0.0,1547.1,-1.0952380952380953,2.467619047619048,0.5,60.0
CrOCl radical,1.2,ClCrO,3,3,0,0,0,1,0,0,0,1,0,0,3,1,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,103.4451,34.4817,34.300000000000004,11.117399333333333,33.352198,8.26,389.0,0.0,102.9,129.66666666666666,2.7533333333333334,0.3333333333333333,-0.5
VOF radical,1.2,FOV,3,3,0,0,0,1,0,0,1,0,0,0,3,1,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,85.938903162,28.646301054000002,32.013333333333335,12.595687333333332,37.787062,9.05,342.5,0.0,96.04,114.16666666666667,3.016666666666667,0.3333333333333333,-0.5
(H2O)7..adenine radical anion,1.2,C5H19N5O7-,36,17,19,5,5,7,0,0,0,0,0,0,12,0,0.5277777777777778,0.1388888888888889,0.1388888888888889,0.19444444444444445,0.0,261.235,7.256527777777778,6.006530277777778,13.40746478873161,482.668732394338,93.83,913.0,3.8,216.23509,25.36111111111111,2.6063888888888886,0.25,0.5
(benzene)3Fe3 anion,1.2,C18H18Fe3-,39,21,18,18,0,0,0,0,0,0,0,0,3,0,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,401.87699999999995,10.30453846153846,12.064820000000001,12.081138746016308,471.16441109463597,90.99,-639.0,1.0,470.52798,-16.384615384615383,2.333076923076923,0.3333333333333333,9.0
Co(COT) radical anion,1.2,C8H8Co-,17,9,8,8,0,0,0,0,0,0,0,0,1,0,0.47058823529411764,0.47058823529411764,0.0,0.0,0.0,163.085194,9.593246705882352,10.67393411764706,12.161811223389176,206.750790797616,39.88,-310.0,1.0,181.45688,-18.235294117647058,2.3458823529411768,0.3333333333333333,4.0
(2-Me-anthracene)8 radical anion,1.2,C120H96-,216,120,96,120,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,1538.088,7.120777777777778,8.280937777777778,12.29946426653422,2656.6842815713917,517.2,-4608.0,0.8,1788.68256,-21.333333333333332,2.394444444444445,0.5,72.0
Al13Cs anion,1.2,Al13Cs-,14,14,0,0,0,0,0,0,0,0,0,0,14,0,0.0,0.0,0.0,0.0,0.0,483.66545116000003,34.547532225714285,82.30714285714285,5.836350194816428,81.70890272743,21.72,674.0,0.0,1152.3,48.142857142857146,1.5514285714285714,0.5,0.0
Si6Cs anion,1.2,CsSi6-,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,301.41545196,43.05935028,89.24285714285713,7.543426532490002,52.80398572743001,12.189999999999998,323.0,0.0,624.6999999999999,46.142857142857146,1.741428571428571,0.5,0.0
(COT)Eu anion,1.2,C8H8Eu-,17,9,8,8,0,0,0,0,0,0,0,0,1,0,0.47058823529411764,0.47058823529411764,0.0,0.0,0.0,256.116,15.06564705882353,18.262169411764706,12.031774458683294,204.540165797616,38.0,-251.0,1.0,310.45688,-14.764705882352942,2.235294117647059,0.3333333333333333,4.0
(COT)2Eu2 anion,1.2,C16H16Eu2-,34,18,16,16,0,0,0,0,0,0,0,0,2,0,0.47058823529411764,0.47058823529411764,0.0,0.0,0.0,512.232,15.06564705882353,18.262169411764706,12.031774458683294,409.080331595232,76.0,-502.0,1.0,620.91376,-14.764705882352942,2.235294117647059,0.3333333333333333,8.0
PbIn anion,1.2,InPb-,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,322.018,161.009,56.0,6.6015178500000005,13.203035700000001,3.58,160.0,0.0,112.0,80.0,1.79,0.5,0.0
BiC6H5 anion,1.2,C6H5Bi-,12,7,5,6,0,0,0,0,0,0,0,0,1,0,0.4166666666666667,0.5,0.0,0.0,0.0,286.0864,23.840533333333337,11.527962500000001,11.903284749875832,142.83941699851,28.2,-142.0,0.8333333333333334,138.33555,-11.833333333333334,2.35,0.3333333333333333,3.5
titanium oxide,1.2,OTi,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.5,0.0,63.866,31.933,52.65,10.2230875,20.446175,4.98,221.0,0.0,105.3,110.5,2.49,0.5,0.0
VC4 radical,1.2,C4V,5,5,0,4,0,0,0,0,0,0,0,0,1,0,0.0,0.8,0.0,0.0,0.0,98.9855,19.7971,26.439999999999998,10.357467799999998,51.787338999999996,11.829999999999998,47.0,0.0,132.2,9.4,2.3659999999999997,0.5,4.0
Rh2Co2,1.2,Co2Rh2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,323.677368,80.919342,60.5,7.669955,30.67982,8.32,249.0,0.0,242.0,62.25,2.08,0.5,0.0
2'-deoxyadenosine 5'-(dihydrogen phosphate),1.2,C10H14N5O6P,36,22,14,10,5,6,1,0,0,0,0,0,12,0,0.3888888888888889,0.2777777777777778,0.1388888888888889,0.16666666666666666,0.0,331.22476199799996,9.200687833277776,7.497209444444445,12.995739733217443,467.84663039582796,94.33,972.0,1.4,269.89954,27.0,2.620277777777778,0.2,8.0
(H2O)2..C6F6 radical anion,1.2,C6H4F6O2-,18,14,4,6,0,2,0,0,6,0,0,0,8,6,0.2222222222222222,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,222.086418972,12.338134387333334,6.603802222222223,14.096027577711556,253.728496398808,54.86,841.0,0.6666666666666666,118.86844,46.72222222222222,3.0477777777777777,0.25,1.0
Cu-Phthalocyanine-(SO3-)3(SO3H)[-3],1.2,C32H13CuN8O12S4,70,57,13,32,8,12,0,4,0,0,0,0,25,0,0.18571428571428572,0.45714285714285713,0.11428571428571428,0.17142857142857143,0.0,893.286,12.761228571428571,9.529891857142857,12.370928368516086,865.964985796126,188.02,2820.0,0.40625,667.09243,40.285714285714285,2.686,0.16666666666666666,33.5
(7-aza-indole)3 radical anion,1.2,C21H18N6-,45,27,18,21,6,0,0,0,0,0,0,0,6,0,0.4,0.4666666666666667,0.13333333333333333,0.0,0.0,354.417,7.875933333333332,8.062844,12.632058906547465,568.4426507946359,111.39,24.0,0.8571428571428571,362.82798,0.5333333333333333,2.4753333333333334,0.3333333333333333,18.0
(7-aza-indole)4 radical anion,1.2,C28H24N8-,60,36,24,28,8,0,0,0,0,0,0,0,8,0,0.4,0.4666666666666667,0.13333333333333333,0.0,0.0,472.556,7.875933333333333,8.062844,12.632058906547465,757.923534392848,148.51999999999998,32.0,0.8571428571428571,483.77064,0.5333333333333333,2.475333333333333,0.3333333333333333,24.0
HOCH2CH2OH..NO anion,1.2,C2H6NO3-,12,6,6,2,1,3,0,0,0,0,0,0,4,0,0.5,0.16666666666666666,0.08333333333333333,0.25,0.0,92.074,7.672833333333333,6.078555000000001,13.291623216517666,159.499478598212,31.66,307.0,3.0,72.94266,25.583333333333332,2.638333333333333,0.25,0.0
(benzene)4..Co3 anion,1.2,C24H24Co3-,51,27,24,24,0,0,0,0,0,0,0,0,3,0,0.47058823529411764,0.47058823529411764,0.0,0.0,0.0,489.255582,9.593246705882352,10.673934117647061,12.161811223389174,620.2523723928479,119.64,-930.0,1.0,544.3706400000001,-18.235294117647058,2.3458823529411763,0.3333333333333333,12.0
Co20O radical anion,1.2,Co20O-,21,21,0,0,0,1,0,0,0,0,0,0,21,0,0.0,0.0,0.0,0.047619047619047616,0.0,1194.66288,56.88870857142857,52.63333333333333,8.15420261904762,171.238255,41.03999999999999,1294.9999999999998,0.0,1105.3,61.66666666666666,1.954285714285714,0.5,0.0
Co18O2 radical anion,1.2,Co18O2-,20,20,0,0,0,2,0,0,0,0,0,0,20,0,0.0,0.0,0.0,0.1,0.0,1092.795492,54.639774599999996,50.03,8.4547145,169.09429,40.72,1313.9999999999998,0.0,1000.6,65.69999999999999,2.036,0.5,0.0
"2,6-diMe-4-CO2Me-nitrobenzene radical",1.201,C10H11NO4,26,15,11,10,1,4,0,0,0,0,0,0,5,0,0.4230769230769231,0.38461538461538464,0.038461538461538464,0.15384615384615385,0.0,209.201,8.046192307692307,7.353008076923077,12.738154253720078,331.192010596722,66.5,188.0,1.1,191.17821,7.230769230769231,2.5576923076923075,0.25,5.5
"1,1'-Biphenyl, 4-nitro-",1.201,C12H9NO2,24,15,9,12,1,2,0,0,0,0,0,0,3,0,0.375,0.5,0.041666666666666664,0.08333333333333333,0.0,199.209,8.300375,8.090166250000001,12.469983641554917,299.279607397318,60.32,-22.0,0.75,194.16399,-0.9166666666666666,2.513333333333333,0.25,8.5
Difluoromethyl radical,1.206,CHF2,4,3,1,1,0,0,0,0,2,0,0,0,2,2,0.25,0.25,0.0,0.0,0.5,51.015806323999996,12.753951580999999,5.8217775000000005,14.9260906499255,59.704362599702,12.71,211.0,1.0,23.287110000000002,52.75,3.1775,0.3333333333333333,-0.5
PhCH,1.207,C7H6,13,7,6,7,0,0,0,0,0,0,0,0,0,0,0.46153846153846156,0.5384615384615384,0.0,0.0,0.0,90.125,6.9326923076923075,8.16482,12.339432584477844,160.41262359821198,31.049999999999997,-284.0,0.8571428571428571,106.14266,-21.846153846153847,2.3884615384615384,0.5,4.0
V6,1.21,V6,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,305.649,50.9415,87.0,6.746187,40.477122,9.78,474.0,0.0,522.0,79.0,1.63,1.0,0.0
V7,1.21,V7,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,356.59049999999996,50.9415,87.0,6.746187,47.223309,11.41,553.0,0.0,609.0,79.0,1.6300000000000001,1.0,0.0
Y7O radical,1.21,OY7,8,8,0,0,0,1,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.125,0.0,638.339866,79.79248325,142.4125,7.142359375,57.138875,11.979999999999999,765.0,0.0,1139.3,95.625,1.4974999999999998,0.5,0.0
Chloromethylene,1.21,CHCl,3,2,1,1,0,0,0,0,0,1,0,0,1,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,48.469,16.156333333333333,10.135703333333334,12.608785199900666,37.826355599702,7.91,135.0,1.0,30.40711,45.0,2.6366666666666667,0.3333333333333333,0.0
V6O radical,1.21,OV6,7,7,0,0,0,1,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.14285714285714285,0.0,321.648,45.949714285714286,75.32857142857142,7.727882428571428,54.095177,13.219999999999999,609.0,0.0,527.3,87.0,1.8885714285714283,0.5,0.0
Ti4,1.21,Ti4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,191.468,47.867,100.0,6.82812,27.31248,6.16,344.0,0.0,400.0,86.0,1.54,1.0,0.0
5-Nitro-m-xylene,1.21,C8H9NO2,20,11,9,8,1,2,0,0,0,0,0,0,3,0,0.45,0.4,0.05,0.1,0.0,151.165,7.558249999999999,7.448199499999999,12.711922769865899,254.23845539731798,50.12,10.0,1.125,148.96399,0.5,2.506,0.25000000000000006,4.5
Nb14 radical anion,1.21,Nb14-,14,14,0,0,0,0,0,0,0,0,0,0,14,0,0.0,0.0,0.0,0.0,0.0,1300.6891799999999,92.90637,98.0,6.75885,94.62389999999999,22.400000000000002,1008.0,0.0,1372.0,72.0,1.6,1.0,0.0
(2-Me-anthracene)7 radical anion,1.21,C105H84-,189,105,84,105,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,1345.827,7.120777777777778,8.280937777777778,12.299464266534223,2324.598746374968,452.55,-4032.0,0.8,1565.09724,-21.333333333333332,2.3944444444444444,0.5,63.0
BiC5H4N anion,1.21,C5H4BiN-,11,7,4,5,1,0,0,0,0,0,0,0,2,0,0.36363636363636365,0.45454545454545453,0.09090909090909091,0.0,0.0,287.07439999999997,26.097672727272723,11.811676363636364,12.046802218073454,132.514824398808,26.490000000000002,50.0,0.8,129.92844,4.545454545454546,2.408181818181818,0.25,4.0
PtCO anion,1.212,COPt-,3,3,0,1,0,1,0,0,0,0,0,0,2,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,223.094,74.36466666666666,21.53333333333333,11.279057666666667,33.837173,8.19,187.0,0.0,64.6,62.333333333333336,2.73,0.3333333333333333,1.0
V3O radical,1.218,OV3,4,4,0,0,0,1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.25,0.0,168.8235,42.205875,66.575,8.464154,33.856616,8.33,372.0,0.0,266.3,93.0,2.0825,0.5,0.0
"Benzonitrile, 4-formyl-",1.219,C8H5NO,15,10,5,8,1,1,0,0,0,0,0,0,2,0,0.3333333333333333,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.0,131.134,8.742266666666666,8.375703333333334,12.415110799900667,186.22666199851,37.879999999999995,27.0,0.625,125.63555000000001,1.8,2.525333333333333,0.25,6.5
"1,3-Isobenzofurandione, 4-methyl-",1.219,C9H6O3,18,12,6,9,0,3,0,0,0,0,0,0,3,0,0.3333333333333333,0.5,0.0,0.16666666666666666,0.0,162.14399999999998,9.008,8.035703333333334,12.432631366567332,223.78736459821198,46.47,105.0,0.6666666666666666,144.64266,5.833333333333333,2.5816666666666666,0.3333333333333333,6.0
Fe(CO)2,1.22,C2FeO2,5,5,0,2,0,2,0,0,0,0,0,0,3,0,0.0,0.4,0.0,0.4,0.0,111.865,22.372999999999998,19.04,11.53183082,57.659154099999995,13.809999999999999,317.0,0.0,95.2,63.4,2.7619999999999996,0.3333333333333333,2.0
Nb12 radical anion,1.22,Nb12-,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0.0,0.0,0.0,0.0,0.0,1114.87644,92.90637,98.0,6.75885,81.1062,19.200000000000003,864.0,0.0,1176.0,72.0,1.6000000000000003,1.0,0.0
(m-terphenyl)18 radical anion,1.22,C324H252-,576,324,252,324,0,0,0,0,0,0,0,0,0,0,0.4375,0.5625,0.0,0.0,0.0,4145.58,7.1971875,8.328110625,12.283227137369623,7075.138831124903,1380.6,-12168.0,0.7777777777777778,4796.99172,-21.125,2.3968749999999996,0.5,198.0
(o-terphenyl)15 radical anion,1.22,C270H210-,480,270,210,270,0,0,0,0,0,0,0,0,0,0,0.4375,0.5625,0.0,0.0,0.0,3454.6499999999996,7.197187499999999,8.328110625,12.283227137369625,5895.94902593742,1150.5,-10140.0,0.7777777777777778,3997.4931,-21.125,2.396875,0.5,165.0
Co19O radical anion,1.22,Co19O-,20,20,0,0,0,1,0,0,0,0,0,0,20,0,0.0,0.0,0.0,0.05,0.0,1135.7296860000001,56.786484300000005,52.515,8.16786225,163.357245,39.16,1236.9999999999998,0.0,1050.3,61.84999999999999,1.9579999999999997,0.5,0.0
Co16O2 radical anion,1.22,Co16O2-,18,18,0,0,0,2,0,0,0,0,0,0,18,0,0.0,0.0,0.0,0.1111111111111111,0.0,974.929104,54.162728,49.47777777777778,8.518459444444444,153.33227,36.96,1198.0,0.0,890.6,66.55555555555556,2.0533333333333332,0.5,0.0
Chromium monoxide,1.221,CrO,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.5,0.0,67.9951,33.99755,44.15,10.192282500000001,20.384565000000002,5.1,208.0,0.0,88.3,104.0,2.55,0.5,0.0
(H2O)21 radical anion,1.223,H42O21-,63,21,42,0,0,21,0,0,0,0,0,0,21,0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,378.315,6.005,4.771406666666667,13.604974733134666,857.113408187484,164.64,1239.0,0.0,300.59862,19.666666666666668,2.6133333333333333,0.5,-21.0
"Benzoic acid, 3-nitro-, methyl ester",1.227,C8H7NO4,20,13,7,8,1,4,0,0,0,0,0,0,5,0,0.35,0.4,0.05,0.2,0.0,181.147,9.05735,7.5274885,12.7138848098957,254.277696197914,52.6,356.0,0.875,150.54977,17.8,2.63,0.25,5.5
"Naphthalene, 1-nitro-",1.227,C10H7NO2,20,13,7,10,1,2,0,0,0,0,0,0,3,0,0.35,0.5,0.05,0.1,0.0,173.171,8.65855,8.1274885,12.478108109895699,249.56216219791398,50.82,70.0,0.7,162.54977,3.5,2.541,0.25,7.5
pBr-C6H4CH2 anion,1.229,C7H6Br-,14,8,6,7,0,0,0,0,0,0,1,0,1,1,0.42857142857142855,0.5,0.0,0.0,0.07142857142857142,170.029,12.14492857142857,9.081618571428573,12.301888114157999,172.22643359821197,34.01,-88.0,0.8571428571428571,127.14266,-6.285714285714286,2.4292857142857143,0.3333333333333333,3.5
vanadium oxide,1.229,OV,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.5,0.0,66.9405,33.47025,46.15,10.182121,20.364242,5.07,214.0,0.0,92.3,107.0,2.535,0.5,0.0
Co20O2 radical anion,1.23,Co20O2-,22,22,0,0,0,2,0,0,0,0,0,0,22,0,0.0,0.0,0.0,0.09090909090909091,0.0,1210.66188,55.03008545454546,50.48181818181818,8.402559545454546,184.85631,44.48,1429.9999999999998,0.0,1110.6,64.99999999999999,2.0218181818181815,0.5,0.0
Y6O radical,1.23,OY6,7,7,0,0,0,1,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.14285714285714285,0.0,549.434028,78.49057542857143,139.6142857142857,7.274516428571428,50.921614999999996,10.76,675.0,0.0,977.3,96.42857142857143,1.5371428571428571,0.5,0.0
AgNH2 anion,1.23,AgH2N-,4,2,2,0,1,0,0,0,0,0,0,0,2,0,0.5,0.0,0.25,0.0,0.0,123.8912,30.9728,17.853555,12.326808299850999,49.307233199403996,9.370000000000001,137.0,0.0,71.41422,34.25,2.3425000000000002,0.3333333333333333,0.0
(m-terphenyl)19 radical anion,1.23,C342H266-,608,342,266,342,0,0,0,0,0,0,0,0,0,0,0.4375,0.5625,0.0,0.0,0.0,4375.889999999999,7.197187499999999,8.328110625,12.283227137369623,7468.202099520731,1457.3,-12844.0,0.7777777777777778,5063.491260000001,-21.125,2.396875,0.5,209.0
"3,5-Bis(trifluoromethyl)benzaldehyde",1.232,C9H4F6O,20,16,4,9,0,1,0,0,6,0,0,0,7,6,0.2,0.45,0.0,0.05,0.3,242.12041897199998,12.1060209486,7.373422000000001,13.694565269940401,273.891305398808,59.07,682.0,0.4444444444444444,147.46844000000002,34.1,2.9535,0.25,4.0
germanium,1.233,Ge,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,72.63,72.63,40.0,7.899435,7.899435,2.01,73.0,0.0,40.0,73.0,2.01,1.0,0.0
copper,1.236,Cu,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,63.546,63.546,46.5,7.72638,7.72638,1.9,46.0,0.0,46.5,46.0,1.9,1.0,0.0
"Benzene, 1-fluoro-3-nitro-",1.236,C6H4FNO2,14,10,4,6,1,2,0,0,1,0,0,0,4,1,0.2857142857142857,0.42857142857142855,0.07142857142857142,0.14285714285714285,0.07142857142857142,141.101403162,10.078671654428572,7.683460000000001,12.939180457057713,181.14852639880797,38.0,344.5,0.6666666666666666,107.56844000000001,24.607142857142858,2.7142857142857144,0.19999999999999996,4.5
"1,4-Benzenedicarboxaldehyde",1.236,C8H6O2,16,10,6,8,0,2,0,0,0,0,0,0,2,0,0.375,0.5,0.0,0.125,0.0,134.134,8.383375,8.00266625,12.431813849888249,198.90902159821198,40.48,-22.0,0.75,128.04266,-1.375,2.53,0.3333333333333333,5.0
CCCO,1.237,C3O,4,4,0,3,0,1,0,0,0,0,0,0,1,0,0.0,0.75,0.0,0.25,0.0,52.032000000000004,13.008000000000001,9.8,11.849729749999998,47.39891899999999,11.09,111.0,0.0,39.2,27.75,2.7725,0.5,3.0
"Phosphinyl radical, dimethoxy-",1.24,C2H6O3P,12,6,6,2,0,3,1,0,0,0,0,0,4,0,0.5,0.16666666666666666,0.0,0.25,0.0,109.040761998,9.086730166499999,7.5452216666666665,12.954336216517666,155.45203459821198,30.810000000000002,205.0,3.0,90.54266,17.083333333333332,2.5675000000000003,0.25,-1.0
coronene..V3 anion,1.24,C24H12V3-,39,27,12,24,0,0,0,0,0,0,0,0,3,0,0.3076923076923077,0.6153846153846154,0.0,0.0,0.0,453.1845,11.620115384615385,15.032956923076926,11.63247918452369,453.66668819642393,92.49,-411.0,0.5,586.2853200000001,-10.538461538461538,2.3715384615384614,0.3333333333333333,18.0
Nb8Al radical,1.24,AlNb8,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,770.2324983999999,85.5813887111111,93.53333333333333,6.672952111111111,60.056568999999996,14.41,615.0,0.0,841.8,68.33333333333333,1.6011111111111112,0.5,0.0
Vanadium tetramer,1.24,V4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,203.766,50.9415,87.0,6.746187,26.984748,6.52,316.0,0.0,348.0,79.0,1.63,1.0,0.0
V5,1.24,V5,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,254.70749999999998,50.9415,87.0,6.746187000000001,33.730935,8.149999999999999,395.0,0.0,435.0,79.0,1.6299999999999997,1.0,0.0
